id,price
0,3003.102
1,5926.2285
2,9283.412
3,3960.3308
4,1644.0092
5,6145.404
6,4905.2134
7,4315.9536
8,5342.015
9,16119.318
10,4450.3594
11,850.9892
12,3148.812
13,1636.694
14,2337.4382
15,1139.2461
16,1480.1039
17,3886.7224
18,4133.2485
19,848.3882
20,2066.0483
21,5210.4546
22,4225.634
23,584.50946
24,17752.037
25,1150.3605
26,620.6004
27,1040.4672
28,1641.2361
29,901.8182
30,11090.018
31,564.681
32,4129.1597
33,713.29724
34,613.7971
35,2547.2773
36,5768.892
37,2650.825
38,2795.6401
39,631.88367
40,520.5053
41,9154.298
42,855.8964
43,1636.842
44,10269.359
45,2375.0645
46,882.8717
47,884.2487
48,1221.1877
49,2848.9622
50,574.4231
51,4550.3887
52,2874.5203
53,7150.0063
54,5267.8887
55,2193.6013
56,7964.147
57,2391.5073
58,4463.5317
59,2738.3333
60,1116.274
61,483.93103
62,7240.6577
63,1184.4846
64,8255.592
65,17668.82
66,918.9586
67,11886.286
68,5422.2485
69,9075.595
70,421.2231
71,614.4165
72,920.90594
73,1243.0645
74,5409.5005
75,1861.3885
76,8407.227
77,15021.825
78,2879.4077
79,6378.5366
80,11699.296
81,2067.8647
82,14782.121
83,6597.89
84,841.05096
85,7739.615
86,990.3859
87,12683.248
88,8462.698
89,14882.327
90,4751.213
91,1344.6306
92,948.1542
93,877.68665
94,18218.535
95,461.2409
96,14741.228
97,15596.249
98,12920.994
99,699.6515
100,2430.3867
101,764.76587
102,662.4938
103,446.74728
104,1124.8994
105,1611.0519
106,1330.4548
107,753.64307
108,1038.0995
109,654.5396
110,599.2522
111,1013.96643
112,1973.6533
113,1655.2131
114,1274.877
115,5134.677
116,5288.367
117,14726.941
118,454.27942
119,18295.787
120,1318.5646
121,1653.6611
122,1217.0068
123,491.94437
124,663.36017
125,1339.2094
126,1062.4208
127,12839.527
128,5315.466
129,5439.386
130,6839.7896
131,3217.9895
132,6918.093
133,984.8102
134,3266.8494
135,1058.7617
136,550.25226
137,6842.669
138,530.4452
139,4478.8916
140,739.07697
141,1021.0737
142,3679.1917
143,3992.889
144,731.18
145,6657.614
146,16576.363
147,5159.3276
148,2732.313
149,1769.6664
150,2752.6716
151,1686.7467
